,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd
12146,12147,2014,7,20,2,28.0,28.0,2.0,13.0,600.0,69.0,26.7,998.2,23.6,0.0,0.9,NE
12147,12148,2014,7,20,3,35.0,35.0,2.0,13.0,600.0,63.0,26.6,998.0,23.3,0.0,1.0,NNE
12148,12149,2014,7,20,4,39.0,39.0,2.0,14.0,600.0,51.0,26.4,998.5,23.5,0.0,1.0,WNW
12149,12150,2014,7,20,5,52.0,52.0,2.0,24.0,600.0,59.0,26.7,998.6,23.8,0.0,1.3,N
12150,12151,2014,7,20,6,56.0,64.0,2.0,28.0,600.0,54.0,27.9,998.8,23.9,0.0,1.8,SSE
12151,12152,2014,7,20,7,57.0,72.0,2.0,30.0,700.0,46.0,28.1,998.8,23.9,0.0,1.3,ESE
12152,12153,2014,7,20,8,67.0,80.0,2.0,36.0,700.0,45.0,28.5,998.4,24.1,0.0,1.6,SW
12153,12154,2014,7,20,9,83.0,96.0,2.0,38.0,700.0,52.0,29.0,997.9,24.3,0.0,1.0,W
12154,12155,2014,7,20,10,93.0,108.0,2.0,42.0,800.0,63.0,31.2,997.1,23.8,0.0,1.6,SSE
12155,12156,2014,7,20,11,91.0,92.0,3.0,30.0,700.0,102.0,31.7,996.2,23.8,0.0,1.6,ENE
12156,12157,2014,7,20,12,94.0,103.0,4.0,27.0,700.0,135.0,32.7,995.6,23.4,0.0,2.9,SSE
12165,12166,2014,7,20,21,87.0,109.0,8.0,26.0,900.0,163.5,32.5,992.6,23.5,0.0,2.1,SE
12166,12167,2014,7,20,22,86.0,110.0,7.0,33.0,900.0,138.0,32.3,992.1,23.3,0.0,2.0,SSE
12167,12168,2014,7,20,23,80.0,107.0,6.0,41.0,900.0,107.0,30.9,991.6,23.8,0.0,1.2,NNW
12168,12169,2014,7,21,0,67.0,84.0,5.0,38.0,700.0,93.0,30.4,991.4,23.6,0.0,0.3,NNW
12169,12170,2014,7,21,1,58.0,83.0,4.0,40.0,700.0,74.0,29.2,990.8,23.9,0.0,0.7,NNE
12170,12171,2014,7,21,2,58.0,91.0,4.0,41.0,700.0,49.0,29.3,990.9,23.7,0.0,0.7,E
12171,12172,2014,7,21,3,64.0,101.0,3.0,41.0,800.0,42.0,29.4,991.4,22.9,0.0,2.7,WNW
12172,12173,2014,7,21,4,67.0,79.0,3.0,27.0,700.0,54.0,28.9,992.7,20.1,0.0,3.75,N
12175,12176,2014,7,21,7,29.0,29.0,2.0,20.0,600.0,37.0,25.7,994.1,20.7,0.0,1.7,NW
12176,12177,2014,7,21,8,13.0,13.0,2.0,24.0,500.0,37.0,26.9,994.2,20.0,0.0,2.7,NNW
12177,12178,2014,7,21,9,14.0,14.0,2.0,16.0,500.0,48.0,27.9,994.5,19.9,0.0,2.3,NW
12178,12179,2014,7,21,10,10.0,10.0,4.0,19.0,600.0,48.0,29.6,994.3,17.8,0.0,3.2,NW
12179,12180,2014,7,21,11,18.0,18.0,9.0,21.0,600.0,56.0,31.3,994.0,18.3,0.0,1.9,NW
12180,12181,2014,7,21,12,10.0,10.0,11.0,18.0,500.0,64.0,31.5,993.9,17.8,0.0,3.0,NW
12182,12183,2014,7,21,14,15.0,15.0,11.0,17.0,400.0,95.0,34.0,993.0,14.0,0.0,3.7,WNW
12183,12184,2014,7,21,15,8.0,8.0,8.0,15.0,400.0,113.0,34.4,993.3,14.3,0.0,3.7,W
12184,12185,2014,7,21,16,11.0,13.0,7.0,20.0,400.0,111.0,34.2,993.4,14.7,0.0,2.6,NNW
12185,12186,2014,7,21,17,17.0,18.0,5.0,19.0,300.0,113.0,33.1,993.6,15.1,0.0,2.7,WNW
12186,12187,2014,7,21,18,3.0,12.0,2.0,19.0,300.0,99.0,31.8,994.4,14.0,0.0,3.75,NNW
12187,12188,2014,7,21,19,7.0,27.0,4.0,35.0,400.0,83.0,31.0,995.4,14.2,0.0,1.8,NNW
12188,12189,2014,7,21,20,10.0,10.0,2.0,21.0,300.0,72.0,30.1,996.2,13.4,0.0,1.2,N
12189,12190,2014,7,21,21,7.0,7.0,2.0,22.0,300.0,68.0,29.5,996.4,13.7,0.0,0.9,WNW
12190,12191,2014,7,21,22,3.0,5.0,2.0,22.0,300.0,68.0,29.2,996.1,13.8,0.0,1.7,NW
12191,12192,2014,7,21,23,3.0,17.0,2.0,28.0,300.0,58.0,29.1,996.0,14.1,0.0,0.9,N
12192,12193,2014,7,22,0,5.0,10.0,2.0,47.0,300.0,37.0,28.6,996.3,14.4,0.0,0.5,E
12193,12194,2014,7,22,1,5.0,13.0,3.0,33.0,300.0,50.0,28.6,996.5,14.1,0.0,1.1,NNW
12194,12195,2014,7,22,2,7.0,14.0,6.0,45.0,300.0,35.0,27.8,997.1,15.1,0.0,1.2,NW
12195,12196,2014,7,22,3,6.0,18.0,4.0,35.0,300.0,43.0,28.5,997.1,14.0,0.0,2.4,NE
12196,12197,2014,7,22,4,4.0,24.0,7.0,56.0,400.0,24.0,27.7,997.5,14.7,0.0,2.4,NNW
12197,12198,2014,7,22,5,7.0,23.0,13.0,30.0,400.0,47.0,27.2,997.9,15.2,0.0,2.4,NNW
12198,12199,2014,7,22,6,7.0,23.0,16.0,30.0,500.0,46.0,27.4,997.9,15.1,0.0,1.4,NNW
12199,12200,2014,7,22,7,5.0,17.0,12.0,31.0,500.0,44.0,26.7,998.6,16.6,0.0,1.3,WNW
12200,12201,2014,7,22,8,12.0,35.0,11.0,39.0,500.0,33.0,27.4,998.7,15.7,0.0,1.1,NW
12201,12202,2014,7,22,9,14.0,38.0,12.0,42.0,600.0,27.0,27.4,998.8,15.7,0.0,1.6,WNW
12202,12203,2014,7,22,10,10.0,17.0,9.0,45.0,500.0,29.0,27.9,998.9,15.5,0.0,1.1,NE
12203,12204,2014,7,22,11,8.0,26.0,8.0,30.0,500.0,46.0,28.3,998.6,15.9,0.0,1.6,NE
12204,12205,2014,7,22,12,9.0,19.0,11.0,26.0,500.0,50.0,28.7,998.6,16.6,0.0,1.3,N
12205,12206,2014,7,22,13,10.0,22.0,21.0,29.0,600.0,46.0,28.3,998.4,16.6,0.0,2.0,NW
12206,12207,2014,7,22,14,13.0,31.0,21.0,32.0,600.0,43.0,28.3,998.3,17.5,0.0,1.5,WNW
12207,12208,2014,7,22,15,18.0,30.0,13.0,32.0,500.0,42.0,29.4,997.8,15.9,0.0,1.2,NNW
12208,12209,2014,7,22,16,12.0,12.0,10.0,27.0,500.0,57.0,28.6,997.6,15.2,0.0,1.8,NNW
12209,12210,2014,7,22,17,13.0,13.0,6.0,22.0,400.0,73.0,27.9,997.5,15.9,0.0,1.8,NNW
12210,12211,2014,7,22,18,9.0,17.0,5.0,27.0,400.0,69.0,27.3,997.5,16.0,0.0,0.7,NW
12211,12212,2014,7,22,19,9.0,24.0,6.0,33.0,500.0,58.0,26.9,997.6,15.6,0.0,1.4,NNW
12212,12213,2014,7,22,20,13.0,29.0,12.0,41.0,600.0,49.0,26.6,998.0,15.3,0.0,1.5,NNW
12213,12214,2014,7,22,21,9.0,9.0,12.0,49.0,500.0,43.0,25.9,997.7,15.6,0.0,1.0,NW
12216,12217,2014,7,23,0,11.0,15.0,18.0,40.0,500.0,47.0,25.6,996.7,15.3,0.0,1.3,NNW
12217,12218,2014,7,23,1,10.0,17.0,20.0,58.0,600.0,27.0,24.9,996.4,15.5,0.0,0.9,NNW
12218,12219,2014,7,23,2,11.0,19.0,18.0,60.0,600.0,23.0,24.3,996.3,15.2,0.0,1.1,N
12219,12220,2014,7,23,3,16.0,16.0,12.0,31.0,500.0,44.0,24.5,996.2,15.1,0.0,1.4,N
12220,12221,2014,7,23,4,17.0,17.0,8.0,33.0,500.0,38.0,24.1,996.1,15.8,0.0,0.8,W
12221,12222,2014,7,23,5,8.0,10.0,6.0,29.0,400.0,48.0,24.6,996.2,15.2,0.0,1.2,NNE
12222,12223,2014,7,23,6,5.0,8.0,6.0,29.0,400.0,53.0,24.9,996.2,15.5,0.0,0.4,SW
12223,12224,2014,7,23,7,12.0,21.0,10.0,38.0,500.0,45.0,25.8,996.8,15.8,0.0,0.6,NW
12224,12225,2014,7,23,8,21.0,40.0,11.0,44.0,600.0,34.0,27.4,996.5,14.4,0.0,3.6,WNW
12225,12226,2014,7,23,9,10.0,10.0,7.0,35.0,500.0,47.0,28.7,995.8,14.1,0.0,3.0,WNW
12226,12227,2014,7,23,10,20.0,46.0,8.0,46.0,600.0,45.0,29.0,995.7,17.5,0.0,1.9,WSW
12227,12228,2014,7,23,11,13.0,37.0,6.0,39.0,600.0,59.0,30.1,995.3,15.8,0.0,1.9,SW
12228,12229,2014,7,23,12,29.0,86.0,6.0,51.0,700.0,62.0,31.1,995.0,14.3,0.0,2.2,SW
12229,12230,2014,7,23,13,30.0,30.0,5.0,39.0,600.0,89.0,31.5,994.4,14.2,0.0,2.1,SW
12230,12231,2014,7,23,14,7.0,18.0,2.0,21.0,400.0,104.0,31.4,993.9,15.0,0.0,2.6,WNW
12231,12232,2014,7,23,15,14.0,22.0,2.0,28.0,400.0,105.0,32.0,993.2,15.1,0.0,3.6,NW
12232,12233,2014,7,23,16,15.0,43.0,3.0,29.0,400.0,102.0,31.4,992.9,17.3,0.0,2.2,SW
12233,12234,2014,7,23,17,18.0,28.0,4.0,32.0,400.0,94.0,31.3,993.0,15.7,0.0,1.7,W
12234,12235,2014,7,23,18,30.0,83.0,5.0,58.0,600.0,83.0,31.0,993.1,14.6,0.0,3.4,WNW
12235,12236,2014,7,23,19,17.0,17.0,7.0,47.0,500.0,76.0,30.5,993.7,15.0,0.0,1.7,NW
12236,12237,2014,7,23,20,20.0,30.0,5.0,44.0,500.0,75.0,29.6,994.3,15.0,0.0,1.3,N
12237,12238,2014,7,23,21,23.0,39.0,5.0,47.0,500.0,67.0,29.1,994.4,15.2,0.0,1.5,NW
12238,12239,2014,7,23,22,20.0,40.0,6.0,41.0,500.0,69.0,28.0,994.5,16.0,0.0,1.5,NNW
12239,12240,2014,7,23,23,23.0,36.0,5.0,32.0,500.0,72.0,29.6,994.6,14.6,0.0,3.75,NW
12240,12241,2014,7,24,0,26.0,35.0,6.0,27.0,500.0,77.0,27.3,994.6,18.3,0.0,1.4,E
12241,12242,2014,7,24,1,28.0,110.0,4.0,41.0,600.0,57.0,26.6,994.4,19.2,0.0,0.9,ESE
12242,12243,2014,7,24,2,58.0,146.0,2.0,72.0,800.0,20.0,26.1,994.4,18.8,0.0,0.6,WSW
12243,12244,2014,7,24,3,68.0,125.0,2.0,74.0,800.0,18.0,25.9,994.7,19.1,0.0,2.3,E
12244,12245,2014,7,24,4,67.0,110.0,2.0,67.0,800.0,17.0,25.2,994.9,19.1,0.0,1.3,E
12245,12246,2014,7,24,5,61.0,95.0,2.0,53.0,700.0,25.0,24.5,995.5,19.8,0.0,1.7,W
12246,12247,2014,7,24,6,46.0,70.0,2.0,53.0,700.0,25.0,24.9,996.5,19.9,0.0,1.1,S
12247,12248,2014,7,24,7,59.0,104.0,2.0,79.0,800.0,4.0,25.6,997.0,19.7,0.0,0.9,NNE
12248,12249,2014,7,24,8,55.0,71.0,2.0,62.0,700.0,19.0,25.6,997.0,19.9,0.0,0.8,WSW
12249,12250,2014,7,24,9,51.0,83.0,3.0,61.0,800.0,24.0,26.2,997.3,20.8,0.0,1.1,NNW
12250,12251,2014,7,24,10,59.0,102.0,4.0,79.0,900.0,20.0,26.4,998.2,20.0,0.0,1.9,ESE
12251,12252,2014,7,24,11,69.0,131.0,4.0,82.0,1000.0,25.0,26.2,998.4,19.3,0.0,1.0,SE
12252,12253,2014,7,24,12,53.0,64.0,3.0,46.0,800.0,53.0,26.4,997.8,20.0,0.0,1.1,NW
12253,12254,2014,7,24,13,54.0,69.0,3.0,44.0,800.0,62.0,27.5,997.5,19.3,0.0,1.3,N
12254,12255,2014,7,24,14,62.0,62.0,5.0,53.0,800.0,73.0,29.1,997.0,18.5,0.0,1.2,N
12255,12256,2014,7,24,15,50.0,50.0,7.0,32.0,700.0,97.0,30.4,996.4,17.5,0.0,1.6,S
12256,12257,2014,7,24,16,44.0,44.0,7.0,24.0,600.0,116.0,30.1,995.9,18.8,0.0,2.7,SSE
12257,12258,2014,7,24,17,33.0,76.0,6.0,26.0,600.0,131.0,29.7,996.1,18.5,0.0,2.3,SSE
12258,12259,2014,7,24,18,32.0,49.0,8.0,25.0,600.0,149.0,28.9,996.6,19.2,0.0,1.6,ESE
12259,12260,2014,7,24,19,42.0,87.0,7.0,45.0,700.0,146.0,28.2,997.6,17.1,0.0,2.1,ESE
12260,12261,2014,7,24,20,47.0,47.0,6.0,53.0,700.0,121.0,27.4,998.6,17.8,0.0,1.6,SSE
12261,12262,2014,7,24,21,45.0,48.0,4.0,50.0,700.0,99.0,26.2,998.8,17.6,0.0,1.1,ESE
12262,12263,2014,7,24,22,48.0,89.0,3.0,59.0,700.0,67.0,25.2,998.9,17.1,0.0,1.0,NNW
12263,12264,2014,7,24,23,54.0,83.0,4.0,55.0,800.0,63.0,24.0,998.4,17.0,0.0,2.1,NE
12264,12265,2014,7,25,0,54.0,77.0,4.0,49.0,1000.0,54.0,22.9,998.0,17.4,0.0,1.6,WNW
12265,12266,2014,7,25,1,43.0,47.0,2.0,30.0,700.0,65.0,22.1,998.2,17.0,0.0,1.2,NNW
12266,12267,2014,7,25,2,48.0,49.0,2.0,30.0,700.0,58.0,20.9,997.7,16.9,0.0,1.8,NNW
12267,12268,2014,7,25,3,44.0,44.0,2.0,32.0,800.0,54.0,20.7,997.5,16.5,0.0,0.9,NW
12268,12269,2014,7,25,4,44.0,44.0,2.0,34.0,900.0,45.0,20.4,997.8,16.6,0.0,0.8,ENE
12269,12270,2014,7,25,5,57.0,57.0,2.0,28.0,900.0,53.0,20.2,998.1,16.4,0.0,1.4,NNW
12270,12271,2014,7,25,6,55.0,55.0,2.0,32.0,1100.0,52.0,22.4,998.3,16.9,0.0,1.2,NNW
12271,12272,2014,7,25,7,59.0,59.0,2.0,33.0,1200.0,54.0,24.7,998.1,17.4,0.0,1.0,NW
12272,12273,2014,7,25,8,61.0,80.0,4.0,39.0,1100.0,67.0,27.7,997.6,18.1,0.0,2.0,WSW
12273,12274,2014,7,25,9,73.0,76.0,5.0,37.0,900.0,106.0,30.2,997.3,17.3,0.0,1.8,S
12274,12275,2014,7,25,10,59.0,60.0,5.0,41.0,800.0,121.0,31.7,996.9,17.2,0.0,2.6,SE
12275,12276,2014,7,25,11,41.0,47.0,5.0,27.0,800.0,163.5,32.2,996.5,16.5,0.0,2.9,SSE
12381,12382,2014,7,29,21,110.0,142.0,2.0,31.0,800.0,161.0,29.0,993.7,21.0,0.0,3.75,SSW
12382,12383,2014,7,29,22,115.0,160.0,2.0,40.0,900.0,136.0,25.6,994.0,20.6,0.0,3.75,E
12383,12384,2014,7,29,23,77.0,90.0,2.0,17.0,700.0,163.5,24.9,995.0,21.8,0.0,2.1,E
12385,12386,2014,7,30,1,93.0,93.0,2.0,13.0,800.0,141.0,24.3,994.6,21.8,0.0,1.7,E
12387,12388,2014,7,30,3,70.0,70.0,2.0,12.0,800.0,127.0,23.8,995.2,20.7,0.0,2.4,E
12391,12392,2014,7,30,7,65.0,65.0,2.0,17.0,800.0,98.0,23.2,997.0,22.0,0.0,1.1,SW
12392,12393,2014,7,30,8,50.0,50.0,2.0,17.0,800.0,81.0,23.5,997.1,21.8,0.0,0.9,WNW
12393,12394,2014,7,30,9,53.0,53.0,2.0,55.0,900.0,46.0,24.1,997.4,21.6,0.0,1.3,W
12394,12395,2014,7,30,10,64.0,64.0,2.0,59.0,900.0,49.0,24.7,998.0,21.8,0.0,1.4,WSW
12395,12396,2014,7,30,11,66.0,66.0,2.0,28.0,1000.0,108.0,24.5,998.2,21.2,0.0,1.3,W
12396,12397,2014,7,30,12,86.0,86.0,2.0,25.0,1200.0,97.0,27.1,997.6,21.2,0.0,1.4,SE
12397,12398,2014,7,30,13,111.0,111.0,2.0,23.0,1300.0,113.0,28.8,997.2,21.6,0.0,1.1,ENE
12398,12399,2014,7,30,14,130.0,130.0,3.0,25.0,1300.0,146.0,29.5,996.7,21.5,0.0,1.0,SSE
12403,12404,2014,7,30,19,157.0,157.0,2.0,30.0,1700.0,163.5,27.0,997.1,21.5,0.0,1.7,E
12404,12405,2014,7,30,20,161.0,162.0,2.0,34.0,1700.0,141.0,26.4,997.9,22.0,0.0,1.1,ENE
12405,12406,2014,7,30,21,163.5,178.0,2.0,35.0,1800.0,111.0,26.2,998.4,21.6,0.0,1.4,ESE
12406,12407,2014,7,30,22,163.5,191.0,2.0,40.0,1900.0,80.0,25.8,998.7,21.9,0.0,2.0,E
12407,12408,2014,7,30,23,163.5,199.0,2.0,37.0,1900.0,65.0,25.9,998.9,22.0,0.0,2.0,ENE
12408,12409,2014,7,31,0,163.5,215.5,2.0,37.0,2100.0,48.0,25.6,999.1,22.1,0.0,1.4,E
12411,12412,2014,7,31,3,163.5,215.5,2.0,32.0,2000.0,33.0,25.0,998.7,22.1,0.0,1.3,E
12412,12413,2014,7,31,4,163.5,215.5,2.0,33.0,2000.0,31.0,24.9,998.9,22.4,0.0,0.9,E
12413,12414,2014,7,31,5,163.5,215.5,2.0,40.0,2000.0,24.0,24.9,999.1,22.6,0.0,1.6,ESE
12414,12415,2014,7,31,6,163.5,213.0,2.0,39.0,1900.0,21.0,25.1,999.1,22.6,0.0,1.4,E
12415,12416,2014,7,31,7,163.5,210.0,2.0,39.0,1800.0,21.0,25.3,999.5,22.6,0.0,1.0,ENE
12416,12417,2014,7,31,8,163.5,203.0,2.0,39.0,1800.0,22.0,26.7,999.1,22.8,0.0,0.7,SSW
12417,12418,2014,7,31,9,163.5,208.0,2.0,30.0,1700.0,38.0,27.9,999.0,22.2,0.0,1.8,ESE
12418,12419,2014,7,31,10,163.5,215.0,2.0,25.0,1800.0,68.0,29.3,998.6,22.3,0.0,2.4,SSE
12429,12430,2014,7,31,21,161.0,161.0,2.0,38.0,1500.0,157.0,28.1,998.1,21.6,0.0,1.0,ESE
12430,12431,2014,7,31,22,163.5,175.0,2.0,40.0,1400.0,120.0,27.6,997.9,21.9,0.0,1.8,ESE
12431,12432,2014,7,31,23,163.5,185.0,2.0,36.0,1400.0,112.0,27.5,998.0,22.2,0.0,1.3,E
12432,12433,2014,8,1,0,163.5,204.0,2.0,39.0,1500.0,94.0,26.9,997.8,22.3,0.0,1.5,ESE
12433,12434,2014,8,1,1,163.5,215.5,2.0,41.0,1700.0,81.0,26.8,997.8,22.2,0.0,2.1,E
12435,12436,2014,8,1,3,163.5,215.5,2.0,47.0,1700.0,55.0,25.8,997.4,22.1,0.0,1.9,ENE
12436,12437,2014,8,1,4,163.5,206.0,2.0,49.0,1600.0,40.0,25.6,997.6,22.1,0.0,1.7,E
12437,12438,2014,8,1,5,163.5,190.0,2.0,51.0,1500.0,28.0,24.9,998.2,22.4,0.0,3.0,E
12438,12439,2014,8,1,6,163.5,176.0,2.0,39.0,1300.0,28.0,25.1,998.4,22.6,0.0,1.9,ESE
12439,12440,2014,8,1,7,157.0,157.0,3.0,41.0,1200.0,20.0,25.3,998.7,22.8,0.0,1.8,E
12440,12441,2014,8,1,8,156.0,156.0,3.0,43.0,1400.0,22.0,26.0,998.7,22.9,0.0,2.0,E
12441,12442,2014,8,1,9,163.5,173.0,3.0,38.0,1500.0,32.0,26.7,998.8,22.5,0.0,1.7,ENE
12442,12443,2014,8,1,10,163.5,184.0,4.0,37.0,1600.0,48.0,27.9,998.7,22.6,0.0,2.0,ESE
12443,12444,2014,8,1,11,163.5,173.0,4.0,27.0,1500.0,88.0,29.0,998.5,22.0,0.0,1.9,ESE
12444,12445,2014,8,1,12,163.5,177.0,4.0,26.0,1300.0,131.0,30.6,997.8,22.2,0.0,1.5,ESE
12453,12454,2014,8,1,21,139.0,174.0,2.0,38.0,1100.0,153.0,29.2,996.9,22.9,0.0,1.9,S
12454,12455,2014,8,1,22,159.0,185.0,2.0,47.0,1200.0,110.0,28.6,997.0,23.1,0.0,1.4,SSE
12455,12456,2014,8,1,23,163.5,183.0,2.0,54.0,1300.0,79.0,27.4,996.8,23.2,0.0,0.5,SE
12456,12457,2014,8,2,0,163.5,174.0,2.0,48.0,1300.0,72.0,27.4,996.6,23.2,0.0,1.1,E
12457,12458,2014,8,2,1,163.5,178.0,2.0,41.0,1300.0,67.0,27.2,996.2,23.0,0.0,1.4,E
12458,12459,2014,8,2,2,163.5,179.0,2.0,30.0,1200.0,75.0,26.8,996.0,23.1,0.0,1.4,ESE
12459,12460,2014,8,2,3,163.5,164.0,2.0,33.0,1100.0,58.0,26.2,996.3,23.5,0.0,0.9,ESE
12460,12461,2014,8,2,4,144.0,144.0,2.0,35.0,1000.0,36.0,26.3,996.6,23.6,0.0,0.8,SE
12461,12462,2014,8,2,5,125.0,125.0,2.0,36.0,900.0,22.0,25.6,996.6,23.1,0.0,1.1,W
12462,12463,2014,8,2,6,104.0,104.0,2.0,38.0,900.0,13.0,26.1,996.4,23.4,0.0,1.1,W
12463,12464,2014,8,2,7,129.0,129.0,2.0,54.0,1100.0,7.0,26.8,996.1,23.7,0.0,1.2,E
12464,12465,2014,8,2,8,114.0,116.0,2.0,41.0,900.0,13.0,27.8,996.2,23.6,0.0,0.6,SE
12465,12466,2014,8,2,9,90.0,106.0,4.0,39.0,900.0,16.0,29.1,995.5,23.8,0.0,1.5,WSW
12466,12467,2014,8,2,10,102.0,121.0,7.0,37.0,1000.0,38.0,30.6,995.0,23.3,0.0,0.8,ESE
12467,12468,2014,8,2,11,128.0,128.0,5.0,29.0,1000.0,109.0,31.8,994.3,22.5,0.0,2.5,S
12468,12469,2014,8,2,12,140.0,140.0,2.0,24.0,1000.0,163.5,32.7,993.6,23.4,0.0,1.8,SW
12477,12478,2014,8,2,21,126.0,150.0,2.0,29.0,1000.0,163.5,29.7,993.3,23.6,0.0,1.0,N
12478,12479,2014,8,2,22,139.0,168.0,2.0,37.0,1100.0,136.0,29.1,993.1,23.5,0.0,0.8,N
12479,12480,2014,8,2,23,145.0,159.0,2.0,30.0,1100.0,163.5,28.5,993.3,23.4,0.0,1.5,NW
12481,12482,2014,8,3,1,146.0,146.0,2.0,35.0,1100.0,158.0,27.7,992.4,23.5,0.0,0.4,NNE
12482,12483,2014,8,3,2,159.0,160.0,2.0,101.0,1100.0,40.0,27.3,992.1,23.5,0.0,1.7,N
12483,12484,2014,8,3,3,152.0,152.0,2.0,37.0,1100.0,138.0,26.9,992.4,23.2,0.0,1.1,NNW
12484,12485,2014,8,3,4,147.0,147.0,2.0,27.0,1100.0,126.0,26.4,992.7,23.3,0.0,0.9,N
12485,12486,2014,8,3,5,141.0,141.0,2.0,20.0,1100.0,130.0,26.9,993.0,22.9,0.0,0.8,WNW
12486,12487,2014,8,3,6,145.0,145.0,2.0,25.0,1100.0,108.0,27.9,993.2,23.9,0.0,1.5,S
12487,12488,2014,8,3,7,129.0,129.0,2.0,23.0,1000.0,106.0,28.5,993.4,23.6,0.0,0.8,NNW
12488,12489,2014,8,3,8,153.0,185.0,2.0,65.0,1200.0,70.0,30.2,992.8,23.9,0.0,0.9,SSE
12489,12490,2014,8,3,9,163.5,200.0,2.0,100.0,1400.0,40.0,31.6,992.8,23.7,0.0,1.2,SW
12490,12491,2014,8,3,10,163.5,195.0,2.0,90.0,1300.0,82.0,32.6,992.4,24.1,0.0,1.8,S
12491,12492,2014,8,3,11,163.5,199.0,2.0,58.0,1200.0,142.0,32.3,992.2,24.4,0.0,1.7,S
12494,12495,2014,8,3,14,84.0,84.0,2.0,19.0,800.0,123.0,30.6,991.7,22.8,0.0,2.5,WSW
12495,12496,2014,8,3,15,44.0,44.0,2.0,18.0,700.0,104.0,28.9,991.6,22.6,0.0,3.75,W
12496,12497,2014,8,3,16,44.0,44.0,2.0,17.0,600.0,107.0,29.1,991.2,22.6,0.0,2.1,W
12497,12498,2014,8,3,17,41.0,47.0,2.0,19.0,600.0,106.0,29.8,991.3,22.0,0.0,1.8,WNW
12498,12499,2014,8,3,18,41.0,41.0,2.0,25.0,600.0,91.0,29.5,991.8,22.0,0.0,1.8,W
12499,12500,2014,8,3,19,41.0,54.0,2.0,33.0,700.0,86.0,28.9,992.5,21.9,0.0,0.7,NNE
12500,12501,2014,8,3,20,43.0,64.0,2.0,35.0,700.0,73.0,28.5,993.0,22.5,0.0,0.7,WNW
12501,12502,2014,8,3,21,44.0,58.0,2.0,35.0,700.0,70.0,28.4,993.3,22.2,0.0,0.6,N
12502,12503,2014,8,3,22,45.0,57.0,2.0,44.0,700.0,47.0,28.1,993.1,23.0,0.0,1.3,NNW
12503,12504,2014,8,3,23,40.0,62.0,2.0,41.0,700.0,43.0,27.9,993.1,23.3,0.0,0.5,WNW
12504,12505,2014,8,4,0,67.0,115.0,2.0,36.0,800.0,56.0,27.5,992.7,23.5,0.0,0.7,WSW
12505,12506,2014,8,4,1,70.0,95.0,2.0,29.0,900.0,61.0,26.5,992.8,23.0,0.0,1.2,NNW
12506,12507,2014,8,4,2,75.0,95.0,2.0,35.0,800.0,47.0,26.5,992.8,21.5,0.0,1.0,N
12507,12508,2014,8,4,3,65.0,96.0,2.0,63.0,900.0,10.0,26.6,993.0,20.0,0.0,1.7,NNW
12508,12509,2014,8,4,4,39.0,39.0,2.0,39.0,600.0,36.0,27.2,992.9,17.9,0.0,1.4,NW
12509,12510,2014,8,4,5,22.0,22.0,8.0,25.0,600.0,47.0,28.0,993.2,16.6,0.0,1.2,N
12510,12511,2014,8,4,6,16.0,18.0,29.5,25.0,700.0,52.0,28.0,993.7,18.1,0.0,0.5,SE
12511,12512,2014,8,4,7,7.0,24.0,14.0,20.0,500.0,60.0,28.5,994.2,17.1,0.0,1.7,E
12512,12513,2014,8,4,8,13.0,32.0,5.0,22.0,400.0,53.0,28.0,995.2,17.2,0.0,3.7,NNW
12514,12515,2014,8,4,10,10.0,22.0,2.0,15.0,400.0,64.0,25.8,996.7,17.4,0.0,1.0,NNE
12519,12520,2014,8,4,15,4.0,5.0,2.0,17.0,400.0,56.0,23.7,997.2,19.6,0.0,1.3,WSW
12520,12521,2014,8,4,16,13.0,13.0,2.0,25.0,400.0,47.0,23.2,997.3,20.2,0.0,1.8,WSW
12521,12522,2014,8,4,17,11.0,11.0,2.0,34.0,500.0,38.0,24.5,997.2,20.0,0.0,1.3,W
12522,12523,2014,8,4,18,16.0,32.0,2.0,37.0,500.0,27.0,24.8,997.6,19.4,0.0,0.6,WNW
12523,12524,2014,8,4,19,11.0,14.0,2.0,37.0,500.0,36.0,23.1,997.9,20.1,0.0,1.2,SSE
12524,12525,2014,8,4,20,18.0,50.0,2.0,62.0,600.0,7.0,22.6,998.1,19.2,0.0,1.3,N
12525,12526,2014,8,4,21,13.0,13.0,2.0,40.0,500.0,24.0,21.9,998.2,18.9,0.0,1.1,NNW
12526,12527,2014,8,4,22,18.0,27.0,2.0,34.0,500.0,26.0,20.9,997.7,18.5,0.0,1.1,NNW
12527,12528,2014,8,4,23,15.0,16.0,2.0,29.0,500.0,23.0,20.4,997.7,17.8,0.0,1.2,NNW
12528,12529,2014,8,5,0,15.0,15.0,2.0,28.0,500.0,19.0,20.2,997.8,18.0,0.0,1.0,WNW
12529,12530,2014,8,5,1,15.0,21.0,2.0,36.0,500.0,15.0,20.0,998.0,18.0,0.0,1.0,E
12530,12531,2014,8,5,2,20.0,22.0,2.0,31.0,500.0,18.0,20.3,998.0,17.9,0.0,0.9,NNW
12531,12532,2014,8,5,3,20.0,21.0,2.0,27.0,500.0,15.0,19.7,998.1,17.8,0.0,1.8,NNW
